energy_kev,unfiltered_density_photons_cm2_kev,unfiltered_bin_photons_cm2,al_mu_mm_inv,al_transmission,filtered_bin_photons_cm2
43.5,9036253.7358247526,9036253.7358247526,0.12884703947929604,0.72461297177699679,6547786.6732469629
44.5,8793247.5677109826,8793247.5677109826,0.12317665073671233,0.73495821858931354,6462669.5679796776
45.5,8553453.8089465443,8553453.8089465443,0.11798746491106107,0.74455491975566468,6368516.114353979
46.5,8317474.7992831646,8317474.7992831646,0.11322854046416653,0.75346602526649131,6266934.6772700939
47.5,8086063.959507606,8086063.959507606,0.10885527438986427,0.7617489907898265,6159551.0606169077
48.5,7859224.246073598,7859224.246073598,0.10482850176753275,0.76945619460022807,6047328.7808936369
49.5,7636978.274657662,7636978.274657662,0.10111373844386343,0.77663534819991709,5931147.2815339556
50.5,7419553.9157317616,7419553.9157317616,0.097679954522530948,0.78333104146449595,5811966.8960121395
51.5,7206997.0923260041,7206997.0923260041,0.094500337260202613,0.78958258770566958,5690519.4137460031
52.5,6999464.5572717618,6999464.5572717618,0.091551613529580925,0.79542474717567624,5567547.3258329974
53.5,6797311.7297616499,6797311.7297616499,0.08881251609922805,0.80089030388630189,5443901.0568587324
54.5,6600134.2922336776,6600134.2922336776,0.086264084376455968,0.80600912843239336,5319768.488420018
55.5,6407898.4742245367,6407898.4742245367,0.083889378489094085,0.81080844710560795,5195578.2110963911
56.5,6220569.2061742079,6220569.2061742079,0.081673233068523629,0.81531308782403911,5071711.4875090253
57.5,16633958.155254411,16633958.155254411,0.079602044650692566,0.81954570411048999,13632288.948492402
58.5,5859985.787592236,5859985.787592236,0.077663587628379688,0.82352697854360146,4825856.3899642807
59.5,24433994.926250089,24433994.926250089,0.07584685452100616,0.8272758071925298,20213652.875551719
60.5,5518881.6045425162,5518881.6045425162,0.074142067613754026,0.83080915375979403,4585137.3555704625
61.5,5355233.4388590716,5355233.4388590716,0.072540238779018412,0.83414285948376787,4467029.7338929977
62.5,5195861.2482347051,5195861.2482347051,0.071033108742091761,0.83729169228071842,4350451.4573902423
63.5,5040572.3262753701,5040572.3262753701,0.069613337200624723,0.84026888010475764,4235436.0636864379
64.5,4889230.5180592863,4889230.5180592863,0.068274261454866453,0.8430865530132543,4122044.5043578111
65.5,4742063.530465547,4742063.530465547,0.067009824535509008,0.84575584413793026,4010627.9441645825
66.5,6812308.3922067285,6812308.3922067285,0.065814511903065503,0.84828698073997566,5778792.5178946434
67.5,8859378.3370236512,8859378.3370236512,0.064683295587205814,0.85068936634392422,7536578.9437237391
68.5,4322876.1183485277,4322876.1183485277,0.0636115847978488,0.85297165485091242,3687290.7963832323
69.5,5641922.417184541,5641922.417184541,0.062595182177642608,0.85514181744429885,4824643.7897109203
70.5,3475210.1143871737,3475210.1143871737,0.061630244982035544,0.85720720301982445,2978975.1420600335
71.5,3386070.5003309315,3386070.5003309315,0.060713250571980425,0.85917459279854824,2909225.7433090047
72.5,3298519.0162451728,3298519.0162451728,0.059840965688317829,0.8610502497135204,2840190.6226227018
73.5,3212139.9383817371,3212139.9383817371,0.059010419048455623,0.86283996310020117,2771562.7059059804
74.5,3126559.7990570958,3126559.7990570958,0.058218876867064451,0.86454908916565221,2703064.4264967567
75.5,3041802.0373744317,3041802.0373744317,0.05746382095480599,0.8661825876620165,2634755.9598885793
76.5,2957885.8807803928,2957885.8807803928,0.056742929093953384,0.86774505514536349,2566690.8467314742
77.5,2874909.0752668646,2874909.0752668646,0.056054057428306568,0.86924075516112709,2498988.1356045469
78.5,2792866.2647274318,2792866.2647274318,0.055395224637991992,0.87067364566169214,2431675.0525557855
79.5,2711663.4332183432,2711663.4332183432,0.054764597698373142,0.87204740392978652,2364699.0572693883
80.5,2631383.0958170961,2631383.0958170961,0.054160396219378369,0.87336563009991741,2298159.5555125694
81.5,2552036.2358456962,2552036.2358456962,0.053581052593990451,0.87463149361715664,2232091.2647228274
82.5,2473579.5221609422,2473579.5221609422,0.053025187475156665,0.87584778138418751,2166479.1365620201
